Page,Line,Word,Information,media,Bookmarks
1,11,المُفَوَّه,رجلٌ مُفوَّهٌ: قادرٌ على المنطِق والكلام.,,
1,11,العلَّامة,"رجل علَّامٌ وعلَّامةٌ بالهاء: اَي كثير العلم، والهاء للمبالغة، ""قال ابن جني: رجل علامة وامرأة علامة، لم تلحق الهاء لتأنيث الموصوف بما هي فيه، وانما لحقت لاِعلام السامع اَنَّ هذا الموصوفَ بما هي فيه قد بلغ الغاية والنهاية، فجعل تأنيث الصفة امارة لما اريد من تأنيث الغاية والمبالغة، سواء كان الموصوف بتلك الصفة مذكرا اَم مؤنثا"" (شرح القاموس المسمى بِتاج العروس للزبيدي).",,
1,11,الصَّمصامة,السيفُ الصارِمُ الذي لا ينثني.,,
1,12,الانف,"""الاَنِف بفتح الهمزة وكسر النون، قرية في بني بُُجَيْْر من مديرية الحَيْمَة الخارجية واَعمال محافظة صنعاء، لعل تسميتها جاءت نِسبة الى عشيرة بني الاَنِف العبشميين، وقد كان منهم الشيخ علي ابن الحسين بن جعفر الانف القُرَشِِي العَبشَمي (ت سنة 554 ھ)، وهو من رجال الدولة الصليحية ومن كبار اَعوان الداعي ابراهيم بن الحسين الحامدي رض ، كما انه ابن عم الداعي علي بن محمد ابن الوليد القرشي رض""(معجم البلدان والقبائل اليمنية).
 والاَنْفُ في اللغة: الاَنْفُ من كل شيء: اَولُُه او اَشدُّه، قيل في المدح:
قومٌ هم الاَنْفُ والاَذنابُ غيرُهم * ومن يسُوِّي باَنفِ الناقةِ الذَّنَبا
وقد قال المولى الاجل المرتاض سيدي عبد القادر حكيم الدين قس في مدح الداعي الاجل الفاطمي سيدنا عبد الله بن مولاي علي رض:
واٰباك كانوا من بني الاَنْفِ سادةً * لقد شيَّدوا اَركانَ دعوةِ ذي العُلا.",,
2,3,جَور الجائرين وظلم الظالمين,"الفرق بين الظلم والجور:
ان ‌الجور خلاف الاستقامة في الحكم وفي السيرة السلطانية، تقول: جار الحاكم في حكمه والسلطان في سيرته اذا فارق الاستقامة في ذلك.
والظلم ضرر لا يستحق ولا يعقب عوضا سواء كان من سلطان او حاكم او غيرهما، الا ترى ان خيانة الدانق والدرهم تسمى ظلما ولا تسمى جورا فان اخذ ذلك على وجه القهر او الميل سمي جورًا وهذا واضح.
واصل ‌الظلم نقصان الحق، والجور العدول عن الحق من قولنا جار عن الطريق إذا عدل عنه.
وخولف بين النقيضين فقيل في نقيض ‌الظلم الانصاف وهو اعطاء الحق على التمام، وفي نقيض ‌الجور العدل وهو العدول بالفعل إلى الحق (الفروق في اللغة لابي هلال العسكري، ت جمال عبد الغني مدغمش، صـ 406).",,
2,14,"الناكثين، والقاسطين، والمارقين","ورد في كتاب شرح الاخبار في فضائل الائمة الاطهار، ج/4 صـ 4: ""وباٰخر عن علي عليه السلام انه قال امرت بقتال الناكثين والقاسطين والمارقين، فاَما الناكثون فاَصحابُ الجمل، واَما القاسطون فاَهل الشام، واَما المارقون فالخوارج.  
وانظر ايضا كتاب شرح الاخبار في فضائل الائمة الاطهار، ج/1 صـ17.",,
2,14,قاضي دينه,"ورد في كتاب شرح الاخبار في فضائل الائمة الاطهار، ج/1 صـ 16:
ةةةةةة",,
2,16,منجز,"نَجَزَ حاجته يَنْجُزُها بالضم نَجْزاً: قضاها، يقال: نَجَزَ الوعدُ، و ""أنجَزَ حُرٌّ ما وعد"".
قال الداعي الأجل الفاطمي سيدنا عالي قدر مفضل سيف الدين ط ع في قصيدته المباركة المنظومة بمناسبة عيد الفطر سنة 1446هـ:
يابن عينٍ علي ن الحق في تأ * ويله المُنْجِزِ الوُعُودِ مديحُك",,
2,ن 1,السبع,"""فَالسَّابِقَاتِ سَبْقًا"" _ سيدنا ادريس عماد الدين ""سابقات سبقا""، ""فالسابقات سبقا""، تو _ سابقين كرتا اهني سباقة گهني، چاليس ورس نا اندر _ انداز _ دعوة نا عرش پر رهيا، انے كتنا كتابو تصنيف كيدا! انے فاطميين نا مؤرخ يھ چھے فاطميين نا مؤرخ پوچهو تو يھ چھے، فاطميين ني تاريخ يھ لكهے چھے، اهنا نزديك اهوا كاغذو تها، اهوا قصائد تها، اصل جھ سگلا هسے تھ نے اْپ يھ كتاب عيون الاخبار ما درج كري ديدا، سات Volume بناوي نے، سات Volume  Seven، سات جزء، سات، سات سُبع، ""س"" نے پيش، انے پچهي جزم، انے ""ع"" _ سُبع، سُبع _ سات _ سُبع كھے چھے، رسول الله سي شروع كري نے طيب امام لگ ذكر كيدي، خطبه ؤ، قصيدة ؤ، خطبه ؤ انے قصيدة ؤ، خطبه ؤ بهي ائمة نا اْپ نا نزديك جھ موجود هسے يھ سگلا اْپ يھ درج كري ديدا، عجب احسان چھے اهنو، (7 محرم الحرام، 1426هـ)",,
2,ح 1,"ورد في (ح) ""الايمة""","لمزيد القراءة عن تخفيف الهمزة، انظر قاموس رد العامي الى الفصيح للشيخ احمد رضا، صـ 246، وموسوعة علوم اللغة العربية للدكتور اميل بديع يعقوب، ج/1 صـ 190.",,
3,5,بخطبته الشقشقية,"قال الداعي الاجل الفاطمي سيدنا طاهر سيف الدين رض:
ولنسطر ههنا خطبة قرأها كتاب الله الناطق، والصديق الاكبر الصادق، كاشفا قناع التقية، موضحا حال الفئة الشقية، وهي المعروفة بالشقشقية. (الرسالة الشريفة -زبدة برهان الصدق الواضح 1347هـ، صـ62)
***
قال الداعي الاجل الفاطمي سيدنا محمد برهان الدينؓ:
ولنسطر ههنا الخطبة الشقشقية، التي ابان فيها امير المؤمنين ما كان من ظلم الظالمين وحقيقته بالعبارة البليغة الجلية، وهي خطبة مشهورة، وفي كتب الاخبار مذكورة، نأخذ هنا ما ورد في كتاب نهج البلاغة عن الشريف الرضي ابي الحسن محمد ابن الملقب بالطاهر، رحمه الله العزيز القادر القاهر، وقد اسنده الى ابن عم رسول الله وعلي امير المؤمنين عبد الله بن العباس رضوان الله عليه، ورحمة الله وبركاته لم تزل تسري اليه، قال ان امير المؤمنين الذي كان وجها لله وجيها، خطب خطبة غراء قال فيها. (الرسالة الشريفة -سلام نضرة نعيم النعيم 1387ھ، صـ302)",,
2,,الشريف الرضي ابو الحسن محمد ابن طاهر رحمة الله عليه,"(359هـ - 406هـ)
الشريف الرضي ابو الحسن محمد ابن طاهر ذي المناقب ابي احمد الحسين بن موسى بن محمد ابن موسى بن ابراهيم بن موسى الكاظم بن جعفر الصادق بن محمد الباقر بن علي زين العابدين بن الحسين بن علي بن ابي طالب رضي الله عنهم، المعروف بالموسوي صاحب ديوان الشعر. (وفيات الاعيان وانباء ابناء الزمان، لابي العباس شمس الدين احمد بن محمد بن ابراهيم بن ابي بكر ابن خلكان البرمكي الإربلي (ت ٦٨١هـ)، ت د.احسان عباس، المجلد الرابع، صـ415)
ولد في بغداد وتثقف فيها، وثقول الثعالبي في يتيمته: ""ان الرضي ابتدأ بقول الشعر بعد ان جاوز العشر سنين بقليل""، وذكر الفتح بن الجني: ""ان الشريف الرضي اُحضر الى السيرافي النحوي، وهو طفل جدًا لم يبلغ عمره عشر سنين، فلقّنه النحو، وقعد معه يومًا في حلقته فذاكره بشيء من الاعراب على عادة التعليم، فقال له: ""اذا قلنا رأيت عمرو فما علامة النصب في عمرو؟ فقال له الرضي: بغض علي! فعجب السيرافي والحاضرون من حدّة خاطره…
كان الرضي متعمقًا في علوم القرآن، متبحرًا في علم الكلام واللغة والنحو، ووقد اتخذ له دارًا سماها دار العلوم، كان الطلبة يلازمونها ويعين لهم من ماله من يحتاجون اليه…
ومن ابلغ من ترك من الآثار، بلهَ ديوانه الشعري، كتاب ""نهج البلاغة""، وهو اثر جليل جمع فيه خطب الامام علي بن ابي طالب[ع م] وحكمه ورسائله، فكان كاسمه الذي اطلقه عليه. 
انظر صـ184 وصـ344 من هذا الكتاب.
(ديوان الشريف الرضي، المجلد الاول، دار صادر، صـ5)
(راجع الاعلام للزركلي، ج\6، صـ99)
(راجع البداية والنهاية،",,
3,7,عبد الله بن العباس رضوان الله عليه,"ينظر هامش كتاب عيون الاخبار ج\1، صـ56.",,
3,8,ابن ابي قحافة,"عبد الله بن ابي قُحَافة، ابو بكر… وهو عتيق بن عثمان بن عامر بن عمرو بن كعب بن سعد بن تيم بن مرة بن كعب بن لؤي بن غالب، القُرشيُّ التيميُّ. (التاريخ الكبير للبخاري(ت ٢٥٦ هـ) ج/6، صـ7).",,
3,8,تقمصها,"جعلها مثل القميص مشتملًا عليه، والضمير للخلافة، ولم يذكرها للعلم بها. (شرح نهج البلاغة لابن ابي الحديد، صـ96)",,
3,9,الرحا,"الرحا تكتب بالاَلف والياء (الرحى)، لاَنه يقال رحَوتُ بالرحا ورحَيتُ بها، وهي اَداة تُطحَنُ بها (گهنٹي، چكّي).",,
3,9,فسَدَلتُ دونها ثوبًا,"(من شرح نهج البلاغة) موجود في ملف ورد 1
سدلت دونها ثوبا ، اى ارخيت ، يقول: ضربت بيني وبينها حجاباً ؛ فعل الزاهد فيها ، الراغب عنها.
(شرح نهج البلاغة لابن ابي الحديد، صـ95)",,
3,10,وطَوَيتُ عنها كَشحًا,"(من شرح نهج البلاغة) موجود في ملف ورد 1
وطويت عنها كشحا ، اي قطعتها وصرمتها ؛ وهو مثل ، قالوا : لان من كان الى جانبك الايمن ماثلا فطويت كشحك الايسر فقد ملت عنه ، والكشح : ما بين الخاصرة والجنب . وعندى انهم ارادوا غير ذلك ، وهو ان من اجاع نفسه فقد طوى كشحه ، كما ان من اكل وشبع فقد ملأ كشحه ، فكأنه اراد اني اجعت نفسى عنها ، ولم القمها.
(شرح نهج البلاغة لابن ابي الحديد، صـ95)",,
3,10,وطَفِقْتُ,"(ح) ""طفِق: يفعل كذا يطْفَقُ طَفَقًا: اَي جعل يفعل، من ص""، ومنه قول الله تعالى ""وطفقا يخصفان"".",,
3,12,هاتا,,,
3,14,عمر,"عمر بن الخطّاب ابن نُفَيل بن عبد العُزّى بن رياح بن عبد الله بن قُرْط بن رَزَاح بن عديّ بن كعب، ويكنى أبا حفص، وأمّه حَنْتمة بنت هاشم بن المغيرة بن عبد الله بن عمر بن مخزوم. 
(كتاب الطبقات الكبير للزهري، ت د.علي محمد عمر، صـ245)",,
3,15,ثم تمثل عليه السلام بهذا البيت,"واما البيت الذي تمثل به ، فإنه للاعشى الكبير، اعشى قيس، وهو ابو بصير ميمون بن قيس بن جندل، من القصيدة التي قالها في منافرة علقمة بن عُلاثة وعامر بن الطفيل، واولها:
 علقتم ما انت إلى عامر *  الناقص الاوتار والواتر
يقول فيها: …
شثان ما يومي على كورها * ويوم حيان اخي جابر
ارمي بها البيداء ذا فجرت * وانت بين القروِ والعاصِر
في مِجدَلٍ شُيِّدَ بنيانه * يزل عنه ظُفُرُ الطَّائِر
تقول: شتان ما هما، وشتان هما، ولا يجوز: شتان ما بينهما، الا على قول ضعيف، وشتان: أصله شتت، كوَشْكَان ذا خروج، من وَشَك.
وحيّان وجابر ابنا السمَين الحنفيّان،…، يقول: شتان يومي وانا في الهاجرة والرمضاء، اسير على كور هذه الناقة - والكور رحل الناقة - ويوم حيّان وهو في سكرة الشراب، ناعم البال، مرفّه من الاكدار والمشاق.
 (شرح نهج البلاغة لابن ابي الحديد، صـ105)",,
